id,pIC50_mean,pIC50_median,smiles,pic50,assay_desc,assay_chembl_id,target_chembl_id,standard_value,standard_units,standard_type,human_agonists,pIC50
CHEMBL3643413,4.522878745280337,4.522878745280337,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,,Selectivity interaction (PXR Receptor agonist/antagonist assay: TR-FRET human recombinant ) EUB0000877a NR1I2,CHEMBL5474451,CHEMBL3401,30000.0,nM,IC50,True,4.522878745280337
CHEMBL374478,6.077659464119701,5.945210726547806,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,5.96,Agonist activity at human PXR transfected in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL3784294,CHEMBL3401,1100.0,nM,EC50,True,5.958607314841775
CHEMBL3781062,6.128088389198124,6.128088389198124,C[Si](C)(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,6.06,Agonist activity at human PXR transfected in HEK293 cells after 24 hrs by luciferase reporter gene assay,CHEMBL3784294,CHEMBL3401,880.0,nM,EC50,True,6.055517327849832
CHEMBL3822473,5.522878745280337,5.522878745280337,COc1cccc(-c2nc(OC)c3ccccc3n2)c1,,Agonist activity at PXR expressed in human HepG2 cells after 24 hrs by p3A4-luciferase reporter gene assay,CHEMBL3825786,CHEMBL3401,3000.0,nM,EC50,True,5.522878745280337
CHEMBL3822867,5.455931955649724,5.455931955649724,COc1cccc(-c2nc(SC)c3ccccc3n2)c1,,Agonist activity at PXR expressed in human HepG2 cells after 24 hrs by p3A4-luciferase reporter gene assay,CHEMBL3825786,CHEMBL3401,3500.0,nM,EC50,True,5.455931955649724
CHEMBL3823873,6.0655015487564325,6.0655015487564325,COc1cccc(-c2nc3ccccc3c(=S)[nH]2)c1,6.07,Agonist activity at PXR expressed in human HepG2 cells after 24 hrs by p3A4-luciferase reporter gene assay,CHEMBL3825786,CHEMBL3401,860.0,nM,EC50,True,6.0655015487564325
CHEMBL3945199,6.0,6.0,CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2F)c(C(C)(C)c2c(Cl)cccc2Cl)n1,6.0,Agonist activity at human PXR expressed in human HepG2 cells assessed as induction of CYP3A4 measured after 24 hrs by AlamarBlue dye-based luciferase reporter gene assay,CHEMBL3868528,CHEMBL3401,1000.0,nM,EC50,True,6.0
CHEMBL3953927,5.522878745280337,5.522878745280337,CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2cccc(F)c2Cl)n1,5.52,Agonist activity at human PXR expressed in human HepG2 cells assessed as induction of CYP3A4 measured after 24 hrs by AlamarBlue dye-based luciferase reporter gene assay,CHEMBL3868528,CHEMBL3401,3000.0,nM,EC50,True,5.522878745280337
CHEMBL411,4.835647144215563,4.835647144215563,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.84,Antagonist activity at full length human PXR transfected in human HepG2 cells assessed as reduction in rifaximin-induced receptor transactivation after 18 hrs by luciferase reporter assay,CHEMBL3635224,CHEMBL3401,14600.0,nM,IC50,True,4.835647144215563
CHEMBL4162171,5.0,5.0,C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,10000.0,nM,EC50,True,5.0
CHEMBL4172843,5.698970004336019,5.698970004336019,O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(/C=C/c3c(Cl)cccc3C(F)(F)F)ccc2O1,5.7,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,2000.0,nM,EC50,True,5.698970004336019
