ID,SMILES,hERG,Classifation_hERG
CHEMBL707,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,1.815,0
CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,6.814,0
CHEMBL2324242,C[n+]1c(CCCOc2ccccc2)cccc1CCCOc1ccccc1,0.208,0
CHEMBL1834645,C=CCOC[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,5.0,0
CHEMBL2376795,CCc1ccc2c(N3CCNCC3)nc(N)nc2c1,1.514,0
CHEMBL3093972,CCCCCCCN(CC)CC#CC(c1ccccc1)c1ccccc1,0.238,0
CHEMBL1108,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.7596,0
CHEMBL1834787,O=C(CNc1n[nH]c2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@H](c3cccnc3)CC2)C1,36.0,1
CHEMBL1834647,CCO[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,4.5,0
CHEMBL3688392,O=c1ccc2cc(OC[C@@H](O)CN3CCN(c4ccc(Cl)cc4)CC3)ccc2[nH]1,7.5,0
CHEMBL3216702,CCCn1c(-c2ccccn2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C.Cl.Cl.Cl.Cl,1.0,0
CHEMBL1834648,C=CCO[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,7.4,0
CHEMBL470633,COc1cc(-n2ccnc(NCCc3ccccc3)c2=O)ccc1OCCN1CCCC1,6.2,0
CHEMBL2325199,Cc1ccc(CCCOCc2cccc(COCCCc3ccc(C)cc3)[n+]2C)cc1,0.024,0
CHEMBL1834642,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C(N)=O)CC3)C2)c2cc(C(F)(F)F)ccc21,32.0,1
CHEMBL3093974,CCCCCCCN(CC)CC#CCCc1ccccc1,4.394,0
CHEMBL1834719,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,9.1,0
CHEMBL2325204,Cc1ccc(CCc2cccc(CCc3ccc(C)cc3)[n+]2C)cc1,0.024,0
CHEMBL2324263,Cc1ccc(COCc2cccc(COCc3ccc(C)cc3)[n+]2C)cc1,0.107,0
CHEMBL1086756,CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,0.54,0
CHEMBL2324262,Cc1ccc(OCc2cccc(COc3ccc(C)cc3)[n+]2C)cc1,0.053,0
CHEMBL2324251,C[n+]1c(CCc2ccccc2)cccc1CCc1ccccc1,0.466,0
CHEMBL1915540,CN[C@@H]1CCN(c2cc(NCC3CC3)nc(N)n2)C1,3.467,0
CHEMBL3093969,CCCCCCCN(CC)CC#CCc1ccc(Cl)cc1,0.167,0
