ID,SMILES,hERG,Classifation_hERG
CHEMBL1834643,Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](CO)CC3)C2)c2cc(C(F)(F)F)ccc21,32.0,1
CHEMBL1834651,O=C(CNc1noc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@H](c3ccc4c(c3)OCO4)CC2)C1,1.9,0
CHEMBL3093959,CCCCCCCN(CC)CCCCc1ccc(Cl)cc1,0.0083,0
CHEMBL2325216,C[n+]1c(C#Cc2ccccc2Cl)cccc1C#Cc1ccccc1Cl,3.901,0
CHEMBL3093966,CCCCN(CC)CC#CCc1ccccc1,7.82,0
CHEMBL422,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.101,0
CHEMBL214957,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCCN1CCCC1,1.17,0
CHEMBL2315936,N#Cc1ccccc1[C@H]1CC[C@@H](N2CC(NC(=O)CNc3ncnc4ccc(C(F)(F)F)cc34)C2)CC1,2.1,0
CHEMBL3093983,CCCCN(CC)C/C=C/c1ccc(Cl)cc1,1.05,0
CHEMBL3093985,CCCCN(CC)C/C=C/Cc1ccc(Cl)cc1,1.127,0
CHEMBL1214597,Cc1c(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(C(C)(C)C)n1C.Cl,6.9,0
CHEMBL1829623,CN(C)c1ncc([C@H]2CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,9.8,0
